specimen,time_collected,time_received,time_completed
specimen.0,0.0,354.77584104696183,630.2673544841465
specimen.1,0.0,281.6143668465669,1248.1181446074174
specimen.2,0.0,145.71948158923277,743.3923577059036
specimen.3,0.0,174.0739507904574,832.7546842584622
specimen.4,0.0,4.320294619885152,1403.5499483408562
specimen.5,0.0,475.9524319194737,883.6181166245824
specimen.6,0.0,359.26675537978934,680.2804948742935
specimen.7,0.0,109.40045922058714,789.8733386597918
specimen.8,0.0,113.74387687609953,413.35770770574413
specimen.9,0.0,10.083229566150202,1463.8197355709246
specimen.10,0.0,96.2015938865564,1026.3985542141472
specimen.11,0.0,351.59486430294714,2152.191344976974
specimen.12,0.0,37.84889216539128,1867.6961943296571
specimen.13,0.0,5.116459043296994,120.67109395346668
specimen.14,0.0,4.349906470922818,2162.8859519881808
specimen.15,0.0,85.01670566173615,1229.9554870236377
specimen.16,0.0,126.09424265760615,694.9016332210276
specimen.17,0.0,67.7737610296498,93.29003132007009
specimen.18,0.0,43.38843190657171,1041.7117476782075
specimen.19,0.0,227.521274011474,1854.8502531237468
specimen.20,0.0,426.79759396321737,2272.279234791603
specimen.21,0.0,2.6011811213620186,1019.1444343852215
specimen.22,0.0,6.833726586504342,3657.782068772628
specimen.23,0.0,178.2612512064742,1159.2269447033636
specimen.24,0.0,200.15179731572593,471.6983102902074
specimen.25,0.0,91.67622816037637,2845.7622922335195
specimen.26,0.0,236.18621275345453,1272.5310891495933
specimen.27,0.0,137.46228707228153,845.5271744238825
specimen.28,0.0,160.69429207593865,1796.4454465930876
specimen.29,0.0,96.48836560858727,931.9735078212482
specimen.30,0.0,6.425868903388015,1019.6502554148049
specimen.31,0.0,174.1288852779232,964.0534146338838
specimen.32,0.0,142.66666952876338,647.1489257767538
specimen.33,0.0,67.39505292932589,1396.3005477401407
specimen.34,0.0,66.78950050048464,330.2301718006639
specimen.35,0.0,17.78804656839126,831.1460981931772
specimen.36,0.0,69.14034528329898,1450.2052161359093
specimen.37,0.0,272.934222884996,1071.1671516509725
specimen.38,0.0,485.70372337775314,3205.817078338424
specimen.39,0.0,55.00860324212908,809.2435448304796
specimen.40,0.0,25.82783600128996,2667.774469165639
specimen.41,0.0,68.83584127469607,221.61953677724796
specimen.42,0.0,7.160129166157758,3289.797232106015
specimen.43,0.0,31.681088233288538,1950.9949884963019
specimen.44,0.0,106.5878132325063,1011.5840972672863
specimen.45,0.0,30.91669172472334,752.1764935050126
specimen.46,0.0,165.1497305863526,1932.385531303763
specimen.47,0.0,263.0705989013838,2627.28225373639
specimen.48,0.0,189.10926017783424,435.46973972671503
specimen.49,0.0,100.73306687735509,1676.571951726546
specimen.50,0.0,564.4496052913398,1037.9074479229298
specimen.51,0.0,1.801279000547607,1589.1989118915455
specimen.52,0.0,152.68169653727963,3086.826708450044
specimen.53,0.0,200.95520822696014,4307.818134680019
specimen.54,0.0,9.56464959438361,850.9402925212441
specimen.55,0.0,16.259320804567412,709.9619342435899
specimen.56,0.0,23.900994501651684,982.6216516226124
specimen.57,0.0,5.364470853321138,574.8777628675499
specimen.58,0.0,51.63257440751142,1621.8218099210972
specimen.59,0.0,127.77800437696693,864.0752562915609
specimen.60,0.0,33.604459449597286,648.7595655125145
specimen.61,0.0,41.50731544305832,1933.0254767266588
specimen.62,0.0,111.80624966090616,3856.2467261576035
specimen.63,0.0,78.17186477723381,560.3267193966019
specimen.64,0.0,15.664491643970335,1297.0357693131336
specimen.65,0.0,9.589624317974787,803.6278822609559
specimen.66,0.0,34.55366979884797,1422.1339013175952
specimen.67,0.0,94.13842600973867,591.9574597266553
specimen.68,0.0,81.96681170286057,2738.9645306196826
specimen.69,0.0,159.46209651152216,1289.907220245628
specimen.70,0.0,52.9854871662285,1239.8293893555567
specimen.71,0.0,295.9549635068178,3355.465503134856
specimen.72,0.0,29.85956957271731,2163.2084516175855
specimen.73,0.0,149.84874952497296,1661.1236219407022
specimen.74,0.0,340.49774753168657,1585.8236744059864
specimen.75,0.0,181.8090575139361,937.4655853881144
specimen.76,0.0,41.5532310807235,1359.2642536859364
specimen.77,0.0,127.23453093392828,1205.026779086362
specimen.78,0.0,89.7996638392648,157.87006850658366
specimen.79,0.0,37.36080733664473,943.8804318846226
specimen.80,0.0,143.58870541729556,3075.4998444778985
specimen.81,0.0,84.00742043053162,2475.90336336845
specimen.82,0.0,6.661212394898338,1561.98065498252
specimen.83,0.0,276.8217530070398,2090.107398897681
specimen.84,0.0,146.69783571828535,692.009553980265
specimen.85,0.0,116.70263230280622,1624.0275379897635
specimen.86,0.0,39.38446769866903,1297.1730674404903
specimen.87,0.0,27.311654715558106,483.6967817674033
specimen.88,0.0,17.69915541224715,985.3883272490298
specimen.89,0.0,447.25659834101765,2158.70668168451
